100050 silly lifecycle fs.realpath@1.0.0~preinstall: no script for preinstall, continuing
102791 silly build chalk@0.5.1
102792 info linkStuff chalk@0.5.1
102793 silly linkStuff chalk@0.5.1 has /www/lifecockpit/node_modules/gulp-clone/node_modules as its parent node_modules
102794 verbose linkBins chalk@0.5.1
102795 verbose linkMans chalk@0.5.1
102796 silly build vinyl@0.2.3
102797 info linkStuff vinyl@0.2.3
102798 silly linkStuff vinyl@0.2.3 has /www/lifecockpit/node_modules/gulp-clone/node_modules as its parent node_modules
102799 verbose linkBins vinyl@0.2.3
102800 verbose linkMans vinyl@0.2.3
102801 silly build xtend@3.0.0
102802 info linkStuff xtend@3.0.0
102803 silly linkStuff xtend@3.0.0 has /www/lifecockpit/node_modules/gulp-clone/node_modules as its parent node_modules
102804 verbose linkBins xtend@3.0.0
102805 verbose linkMans xtend@3.0.0
102806 silly build clone-stats@1.0.0
102807 info linkStuff clone-stats@1.0.0
102808 silly linkStuff clone-stats@1.0.0 has /www/lifecockpit/node_modules/gulp-concat/node_modules as its parent node_modules
102809 verbose linkBins clone-stats@1.0.0
102810 verbose linkMans clone-stats@1.0.0
102811 silly build replace-ext@1.0.0
102812 info linkStuff replace-ext@1.0.0
102813 silly linkStuff replace-ext@1.0.0 has /www/lifecockpit/node_modules/gulp-concat/node_modules as its parent node_modules
102814 verbose linkBins replace-ext@1.0.0
102815 verbose linkMans replace-ext@1.0.0
102816 silly build object-assign@3.0.0
102817 info linkStuff object-assign@3.0.0
102818 silly linkStuff object-assign@3.0.0 has /www/lifecockpit/node_modules/gulp-help/node_modules as its parent node_modules
102819 verbose linkBins object-assign@3.0.0
102820 verbose linkMans object-assign@3.0.0
102821 silly build xtend@3.0.0
102822 info linkStuff xtend@3.0.0
102823 silly linkStuff xtend@3.0.0 has /www/lifecockpit/node_modules/gulp-json-editor/node_modules as its parent node_modules
102824 verbose linkBins xtend@3.0.0
102825 verbose linkMans xtend@3.0.0
102826 silly build map-stream@0.0.7
102827 info linkStuff map-stream@0.0.7
102828 silly linkStuff map-stream@0.0.7 has /www/lifecockpit/node_modules/gulp-print/node_modules as its parent node_modules
102829 verbose linkBins map-stream@0.0.7
102830 verbose linkMans map-stream@0.0.7
102831 silly build gulp-rename@1.2.2
102832 info linkStuff gulp-rename@1.2.2
102833 silly linkStuff gulp-rename@1.2.2 has /www/lifecockpit/node_modules as its parent node_modules
102834 verbose linkBins gulp-rename@1.2.2
102835 verbose linkMans gulp-rename@1.2.2
102836 silly build isarray@1.0.0
102837 info linkStuff isarray@1.0.0
102838 silly linkStuff isarray@1.0.0 has /www/lifecockpit/node_modules/gulp-replace/node_modules as its parent node_modules
102839 verbose linkBins isarray@1.0.0
102840 verbose linkMans isarray@1.0.0
102841 silly build graceful-fs@4.1.11
102842 info linkStuff graceful-fs@4.1.11
102843 silly linkStuff graceful-fs@4.1.11 has /www/lifecockpit/node_modules/gulp-rev/node_modules as its parent node_modules
102844 verbose linkBins graceful-fs@4.1.11
102845 verbose linkMans graceful-fs@4.1.11
102846 silly build lodash.clonedeep@4.5.0
102847 info linkStuff lodash.clonedeep@4.5.0
102848 silly linkStuff lodash.clonedeep@4.5.0 has /www/lifecockpit/node_modules/gulp-sass/node_modules as its parent node_modules
102849 verbose linkBins lodash.clonedeep@4.5.0
102850 verbose linkMans lodash.clonedeep@4.5.0
102851 silly build convert-source-map@1.5.0
102852 info linkStuff convert-source-map@1.5.0
102853 silly linkStuff convert-source-map@1.5.0 has /www/lifecockpit/node_modules/gulp-sourcemaps/node_modules as its parent node_modules
102854 verbose linkBins convert-source-map@1.5.0
102855 verbose linkMans convert-source-map@1.5.0
102856 silly build graceful-fs@4.1.11
102857 info linkStuff graceful-fs@4.1.11
102858 silly linkStuff graceful-fs@4.1.11 has /www/lifecockpit/node_modules/gulp-sourcemaps/node_modules as its parent node_modules
102859 verbose linkBins graceful-fs@4.1.11
102860 verbose linkMans graceful-fs@4.1.11
102861 silly build lodash@4.17.4
102862 info linkStuff lodash@4.17.4
102863 silly linkStuff lodash@4.17.4 has /www/lifecockpit/node_modules/gulp-uglify/node_modules as its parent node_modules
102864 verbose linkBins lodash@4.17.4
102865 verbose linkMans lodash@4.17.4
102866 silly build object-assign@3.0.0
102867 info linkStuff object-assign@3.0.0
102868 silly linkStuff object-assign@3.0.0 has /www/lifecockpit/node_modules/gulp-util/node_modules as its parent node_modules
102869 verbose linkBins object-assign@3.0.0
102870 verbose linkMans object-assign@3.0.0
102871 silly build is-extglob@2.1.1
102872 info linkStuff is-extglob@2.1.1
102873 silly linkStuff is-extglob@2.1.1 has /www/lifecockpit/node_modules/gulp-watch/node_modules as its parent node_modules
102874 verbose linkBins is-extglob@2.1.1
102875 verbose linkMans is-extglob@2.1.1
102876 silly build is-glob@3.1.0
102877 info linkStuff is-glob@3.1.0
102878 silly linkStuff is-glob@3.1.0 has /www/lifecockpit/node_modules/gulp-watch/node_modules as its parent node_modules
102879 verbose linkBins is-glob@3.1.0
102880 verbose linkMans is-glob@3.1.0
102881 silly build isarray@1.0.0
102882 info linkStuff isarray@1.0.0
102883 silly linkStuff isarray@1.0.0 has /www/lifecockpit/node_modules/gulp-watch/node_modules as its parent node_modules
102884 verbose linkBins isarray@1.0.0
102885 verbose linkMans isarray@1.0.0
102886 silly build har-schema@1.0.5
102887 info linkStuff har-schema@1.0.5
102888 silly linkStuff har-schema@1.0.5 has /www/lifecockpit/node_modules as its parent node_modules
102889 verbose linkBins har-schema@1.0.5
102890 verbose linkMans har-schema@1.0.5
102891 silly build has@1.0.1
102892 info linkStuff has@1.0.1
102893 silly linkStuff has@1.0.1 has /www/lifecockpit/node_modules as its parent node_modules
102894 verbose linkBins has@1.0.1
102895 verbose linkMans has@1.0.1
102896 silly build colormin@1.1.2
102897 info linkStuff colormin@1.1.2
102898 silly linkStuff colormin@1.1.2 has /www/lifecockpit/node_modules as its parent node_modules
102899 verbose linkBins colormin@1.1.2
102900 verbose linkMans colormin@1.1.2
102901 silly build has-ansi@2.0.0
102902 info linkStuff has-ansi@2.0.0
102903 silly linkStuff has-ansi@2.0.0 has /www/lifecockpit/node_modules as its parent node_modules
102904 verbose linkBins has-ansi@2.0.0
102905 verbose linkMans has-ansi@2.0.0
102906 silly build has-flag@1.0.0
102907 info linkStuff has-flag@1.0.0
102908 silly linkStuff has-flag@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
102909 verbose linkBins has-flag@1.0.0
102910 verbose linkMans has-flag@1.0.0
102911 silly build has-unicode@2.0.1
102912 info linkStuff has-unicode@2.0.1
102913 silly linkStuff has-unicode@2.0.1 has /www/lifecockpit/node_modules as its parent node_modules
102914 verbose linkBins has-unicode@2.0.1
102915 verbose linkMans has-unicode@2.0.1
102916 silly build hash-sum@1.0.2
102917 info linkStuff hash-sum@1.0.2
102918 silly linkStuff hash-sum@1.0.2 has /www/lifecockpit/node_modules as its parent node_modules
102919 verbose linkBins hash-sum@1.0.2
102920 verbose linkMans hash-sum@1.0.2
102921 silly build he@1.1.1
102922 info linkStuff he@1.1.1
102923 silly linkStuff he@1.1.1 has /www/lifecockpit/node_modules as its parent node_modules
102924 verbose linkBins he@1.1.1
102925 verbose link bins [ { he: 'bin/he' }, '/www/lifecockpit/node_modules/.bin', false ]
102926 verbose linkMans he@1.1.1
102927 silly build hoek@2.16.3
102928 info linkStuff hoek@2.16.3
102929 silly linkStuff hoek@2.16.3 has /www/lifecockpit/node_modules as its parent node_modules
102930 verbose linkBins hoek@2.16.3
102931 verbose linkMans hoek@2.16.3
102932 silly build boom@2.10.1
102933 info linkStuff boom@2.10.1
102934 silly linkStuff boom@2.10.1 has /www/lifecockpit/node_modules as its parent node_modules
102935 verbose linkBins boom@2.10.1
102936 verbose linkMans boom@2.10.1
102937 silly build cryptiles@2.0.5
102938 info linkStuff cryptiles@2.0.5
102939 silly linkStuff cryptiles@2.0.5 has /www/lifecockpit/node_modules as its parent node_modules
102940 verbose linkBins cryptiles@2.0.5
102941 verbose linkMans cryptiles@2.0.5
102942 silly build hosted-git-info@2.4.1
102943 info linkStuff hosted-git-info@2.4.1
102944 silly linkStuff hosted-git-info@2.4.1 has /www/lifecockpit/node_modules as its parent node_modules
102945 verbose linkBins hosted-git-info@2.4.1
102946 verbose linkMans hosted-git-info@2.4.1
102947 silly build html-comment-regex@1.1.1
102948 info linkStuff html-comment-regex@1.1.1
102949 silly linkStuff html-comment-regex@1.1.1 has /www/lifecockpit/node_modules as its parent node_modules
102950 verbose linkBins html-comment-regex@1.1.1
102951 verbose linkMans html-comment-regex@1.1.1
102952 silly build async@0.2.10
102953 info linkStuff async@0.2.10
102954 silly linkStuff async@0.2.10 has /www/lifecockpit/node_modules/html-minifier/node_modules as its parent node_modules
102955 verbose linkBins async@0.2.10
102956 verbose linkMans async@0.2.10
102957 silly build commander@2.8.1
102958 info linkStuff commander@2.8.1
102959 silly linkStuff commander@2.8.1 has /www/lifecockpit/node_modules/html-minifier/node_modules/clean-css/node_modules as its parent node_modules
102960 verbose linkBins commander@2.8.1
102961 verbose linkMans commander@2.8.1
102962 silly build commander@2.9.0
102963 info linkStuff commander@2.9.0
102964 silly linkStuff commander@2.9.0 has /www/lifecockpit/node_modules/html-minifier/node_modules as its parent node_modules
102965 verbose linkBins commander@2.9.0
102966 verbose linkMans commander@2.9.0
102967 silly build source-map@0.4.4
102968 info linkStuff source-map@0.4.4
102969 silly linkStuff source-map@0.4.4 has /www/lifecockpit/node_modules/html-minifier/node_modules as its parent node_modules
102970 verbose linkBins source-map@0.4.4
102971 verbose linkMans source-map@0.4.4
102972 silly build clean-css@3.4.25
102973 info linkStuff clean-css@3.4.25
102974 silly linkStuff clean-css@3.4.25 has /www/lifecockpit/node_modules/html-minifier/node_modules as its parent node_modules
102975 verbose linkBins clean-css@3.4.25
102976 verbose link bins [ { cleancss: './bin/cleancss' },
102976 verbose link bins   '/www/lifecockpit/node_modules/html-minifier/node_modules/.bin',
102976 verbose link bins   false ]
102977 verbose linkMans clean-css@3.4.25
102978 silly gentlyRm /www/lifecockpit/node_modules/html-minifier/node_modules/.bin/cleancss is being purged
102979 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/html-minifier/node_modules/.bin/cleancss
102980 silly build source-map@0.5.6
102981 info linkStuff source-map@0.5.6
102982 silly linkStuff source-map@0.5.6 has /www/lifecockpit/node_modules/html-minifier/node_modules/uglify-js/node_modules as its parent node_modules
102983 verbose linkBins source-map@0.5.6
102984 verbose linkMans source-map@0.5.6
102985 silly build https-browserify@0.0.1
102986 info linkStuff https-browserify@0.0.1
102987 silly linkStuff https-browserify@0.0.1 has /www/lifecockpit/node_modules as its parent node_modules
102988 verbose linkBins https-browserify@0.0.1
102989 verbose linkMans https-browserify@0.0.1
102990 silly build iconv-lite@0.4.15
102991 info linkStuff iconv-lite@0.4.15
102992 silly linkStuff iconv-lite@0.4.15 has /www/lifecockpit/node_modules as its parent node_modules
102993 verbose linkBins iconv-lite@0.4.15
102994 verbose linkMans iconv-lite@0.4.15
102995 silly build icss-replace-symbols@1.0.2
102996 info linkStuff icss-replace-symbols@1.0.2
102997 silly linkStuff icss-replace-symbols@1.0.2 has /www/lifecockpit/node_modules as its parent node_modules
102998 verbose linkBins icss-replace-symbols@1.0.2
102999 verbose linkMans icss-replace-symbols@1.0.2
103000 silly build ieee754@1.1.8
103001 info linkStuff ieee754@1.1.8
103002 silly linkStuff ieee754@1.1.8 has /www/lifecockpit/node_modules as its parent node_modules
103003 verbose linkBins ieee754@1.1.8
103004 verbose linkMans ieee754@1.1.8
103005 silly build buffer@4.9.1
103006 info linkStuff buffer@4.9.1
103007 silly linkStuff buffer@4.9.1 has /www/lifecockpit/node_modules as its parent node_modules
103008 verbose linkBins buffer@4.9.1
103009 verbose linkMans buffer@4.9.1
103010 silly build image-size@0.5.1
103011 info linkStuff image-size@0.5.1
103012 silly linkStuff image-size@0.5.1 has /www/lifecockpit/node_modules as its parent node_modules
103013 verbose linkBins image-size@0.5.1
103014 verbose link bins [ { 'image-size': 'bin/image-size.js' },
103014 verbose link bins   '/www/lifecockpit/node_modules/.bin',
103014 verbose link bins   false ]
103015 verbose linkMans image-size@0.5.1
103016 silly build import-regex@1.1.0
103017 info linkStuff import-regex@1.1.0
103018 silly linkStuff import-regex@1.1.0 has /www/lifecockpit/node_modules as its parent node_modules
103019 verbose linkBins import-regex@1.1.0
103020 verbose linkMans import-regex@1.1.0
103021 silly build get-imports@1.0.0
103022 info linkStuff get-imports@1.0.0
103023 silly linkStuff get-imports@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103024 verbose linkBins get-imports@1.0.0
103025 verbose linkMans get-imports@1.0.0
103026 silly build in-publish@2.0.0
103027 info linkStuff in-publish@2.0.0
103028 silly linkStuff in-publish@2.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103029 verbose linkBins in-publish@2.0.0
103030 verbose link bins [ { 'in-publish': 'in-publish.js',
103030 verbose link bins     'in-install': 'in-install.js',
103030 verbose link bins     'not-in-publish': 'not-in-publish.js',
103030 verbose link bins     'not-in-install': 'not-in-install.js' },
103030 verbose link bins   '/www/lifecockpit/node_modules/.bin',
103030 verbose link bins   false ]
103031 verbose linkMans in-publish@2.0.0
103032 silly build indexes-of@1.0.1
103033 info linkStuff indexes-of@1.0.1
103034 silly linkStuff indexes-of@1.0.1 has /www/lifecockpit/node_modules as its parent node_modules
103035 verbose linkBins indexes-of@1.0.1
103036 verbose linkMans indexes-of@1.0.1
103037 silly build indexof@0.0.1
103038 info linkStuff indexof@0.0.1
103039 silly linkStuff indexof@0.0.1 has /www/lifecockpit/node_modules as its parent node_modules
103040 verbose linkBins indexof@0.0.1
103041 verbose linkMans indexof@0.0.1
103042 silly build indx@0.2.3
103043 info linkStuff indx@0.2.3
103044 silly linkStuff indx@0.2.3 has /www/lifecockpit/node_modules as its parent node_modules
103045 verbose linkBins indx@0.2.3
103046 verbose linkMans indx@0.2.3
103047 silly build inherits@2.0.3
103048 info linkStuff inherits@2.0.3
103049 silly linkStuff inherits@2.0.3 has /www/lifecockpit/node_modules as its parent node_modules
103050 verbose linkBins inherits@2.0.3
103051 verbose linkMans inherits@2.0.3
103052 silly build block-stream@0.0.9
103053 info linkStuff block-stream@0.0.9
103054 silly linkStuff block-stream@0.0.9 has /www/lifecockpit/node_modules as its parent node_modules
103055 verbose linkBins block-stream@0.0.9
103056 verbose linkMans block-stream@0.0.9
103057 silly build cipher-base@1.0.3
103058 info linkStuff cipher-base@1.0.3
103059 silly linkStuff cipher-base@1.0.3 has /www/lifecockpit/node_modules as its parent node_modules
103060 verbose linkBins cipher-base@1.0.3
103061 verbose linkMans cipher-base@1.0.3
103062 silly build hash.js@1.0.3
103063 info linkStuff hash.js@1.0.3
103064 silly linkStuff hash.js@1.0.3 has /www/lifecockpit/node_modules as its parent node_modules
103065 verbose linkBins hash.js@1.0.3
103066 verbose linkMans hash.js@1.0.3
103067 silly build ini@1.3.4
103068 info linkStuff ini@1.3.4
103069 silly linkStuff ini@1.3.4 has /www/lifecockpit/node_modules as its parent node_modules
103070 verbose linkBins ini@1.3.4
103071 verbose linkMans ini@1.3.4
103072 silly build lodash@3.10.1
103073 info linkStuff lodash@3.10.1
103074 silly linkStuff lodash@3.10.1 has /www/lifecockpit/node_modules/inquirer/node_modules as its parent node_modules
103075 verbose linkBins lodash@3.10.1
103076 verbose linkMans lodash@3.10.1
103077 silly build interpret@1.0.2
103078 info linkStuff interpret@1.0.2
103079 silly linkStuff interpret@1.0.2 has /www/lifecockpit/node_modules as its parent node_modules
103080 verbose linkBins interpret@1.0.2
103081 verbose linkMans interpret@1.0.2
103082 silly build invert-kv@1.0.0
103083 info linkStuff invert-kv@1.0.0
103084 silly linkStuff invert-kv@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103085 verbose linkBins invert-kv@1.0.0
103086 verbose linkMans invert-kv@1.0.0
103087 silly build ip-regex@1.0.3
103088 info linkStuff ip-regex@1.0.3
103089 silly linkStuff ip-regex@1.0.3 has /www/lifecockpit/node_modules as its parent node_modules
103090 verbose linkBins ip-regex@1.0.3
103091 verbose linkMans ip-regex@1.0.3
103092 silly build is@3.2.1
103093 info linkStuff is@3.2.1
103094 silly linkStuff is@3.2.1 has /www/lifecockpit/node_modules as its parent node_modules
103095 verbose linkBins is@3.2.1
103096 verbose linkMans is@3.2.1
103097 silly build is-absolute-url@2.1.0
103098 info linkStuff is-absolute-url@2.1.0
103099 silly linkStuff is-absolute-url@2.1.0 has /www/lifecockpit/node_modules as its parent node_modules
103100 verbose linkBins is-absolute-url@2.1.0
103101 verbose linkMans is-absolute-url@2.1.0
103102 silly build is-arrayish@0.2.1
103103 info linkStuff is-arrayish@0.2.1
103104 silly linkStuff is-arrayish@0.2.1 has /www/lifecockpit/node_modules as its parent node_modules
103105 verbose linkBins is-arrayish@0.2.1
103106 verbose linkMans is-arrayish@0.2.1
103107 silly build error-ex@1.3.1
103108 info linkStuff error-ex@1.3.1
103109 silly linkStuff error-ex@1.3.1 has /www/lifecockpit/node_modules as its parent node_modules
103110 verbose linkBins error-ex@1.3.1
103111 verbose linkMans error-ex@1.3.1
103112 silly build is-binary-path@1.0.1
103113 info linkStuff is-binary-path@1.0.1
103114 silly linkStuff is-binary-path@1.0.1 has /www/lifecockpit/node_modules as its parent node_modules
103115 verbose linkBins is-binary-path@1.0.1
103116 verbose linkMans is-binary-path@1.0.1
103117 silly build is-buffer@1.1.5
103118 info linkStuff is-buffer@1.1.5
103119 silly linkStuff is-buffer@1.1.5 has /www/lifecockpit/node_modules as its parent node_modules
103120 verbose linkBins is-buffer@1.1.5
103121 verbose linkMans is-buffer@1.1.5
103122 silly build is-builtin-module@1.0.0
103123 info linkStuff is-builtin-module@1.0.0
103124 silly linkStuff is-builtin-module@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103125 verbose linkBins is-builtin-module@1.0.0
103126 verbose linkMans is-builtin-module@1.0.0
103127 silly build is-dotfile@1.0.2
103128 info linkStuff is-dotfile@1.0.2
103129 silly linkStuff is-dotfile@1.0.2 has /www/lifecockpit/node_modules as its parent node_modules
103130 verbose linkBins is-dotfile@1.0.2
103131 verbose linkMans is-dotfile@1.0.2
103132 silly build is-extendable@0.1.1
103133 info linkStuff is-extendable@0.1.1
103134 silly linkStuff is-extendable@0.1.1 has /www/lifecockpit/node_modules as its parent node_modules
103135 verbose linkBins is-extendable@0.1.1
103136 verbose linkMans is-extendable@0.1.1
103137 silly build is-extglob@1.0.0
103138 info linkStuff is-extglob@1.0.0
103139 silly linkStuff is-extglob@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103140 verbose linkBins is-extglob@1.0.0
103141 verbose linkMans is-extglob@1.0.0
103142 silly build extglob@0.3.2
103143 info linkStuff extglob@0.3.2
103144 silly linkStuff extglob@0.3.2 has /www/lifecockpit/node_modules as its parent node_modules
103145 verbose linkBins extglob@0.3.2
103146 verbose linkMans extglob@0.3.2
103147 silly build is-glob@2.0.1
103148 info linkStuff is-glob@2.0.1
103149 silly linkStuff is-glob@2.0.1 has /www/lifecockpit/node_modules as its parent node_modules
103150 verbose linkBins is-glob@2.0.1
103151 verbose linkMans is-glob@2.0.1
103152 silly build glob-parent@2.0.0
103153 info linkStuff glob-parent@2.0.0
103154 silly linkStuff glob-parent@2.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103155 verbose linkBins glob-parent@2.0.0
103156 verbose linkMans glob-parent@2.0.0
103157 silly build glob-base@0.3.0
103158 info linkStuff glob-base@0.3.0
103159 silly linkStuff glob-base@0.3.0 has /www/lifecockpit/node_modules as its parent node_modules
103160 verbose linkBins glob-base@0.3.0
103161 verbose linkMans glob-base@0.3.0
103162 silly build is-obj@1.0.1
103163 info linkStuff is-obj@1.0.1
103164 silly linkStuff is-obj@1.0.1 has /www/lifecockpit/node_modules as its parent node_modules
103165 verbose linkBins is-obj@1.0.1
103166 verbose linkMans is-obj@1.0.1
103167 silly build deep-assign@1.0.0
103168 info linkStuff deep-assign@1.0.0
103169 silly linkStuff deep-assign@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103170 verbose linkBins deep-assign@1.0.0
103171 verbose linkMans deep-assign@1.0.0
103172 silly build is-path-cwd@1.0.0
103173 info linkStuff is-path-cwd@1.0.0
103174 silly linkStuff is-path-cwd@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103175 verbose linkBins is-path-cwd@1.0.0
103176 verbose linkMans is-path-cwd@1.0.0
103177 silly build is-plain-obj@1.1.0
103178 info linkStuff is-plain-obj@1.1.0
103179 silly linkStuff is-plain-obj@1.1.0 has /www/lifecockpit/node_modules as its parent node_modules
103180 verbose linkBins is-plain-obj@1.1.0
103181 verbose linkMans is-plain-obj@1.1.0
103182 silly build is-posix-bracket@0.1.1
103183 info linkStuff is-posix-bracket@0.1.1
103184 silly linkStuff is-posix-bracket@0.1.1 has /www/lifecockpit/node_modules as its parent node_modules
103185 verbose linkBins is-posix-bracket@0.1.1
103186 verbose linkMans is-posix-bracket@0.1.1
103187 silly build expand-brackets@0.1.5
103188 info linkStuff expand-brackets@0.1.5
103189 silly linkStuff expand-brackets@0.1.5 has /www/lifecockpit/node_modules as its parent node_modules
103190 verbose linkBins expand-brackets@0.1.5
103191 verbose linkMans expand-brackets@0.1.5
103192 silly build is-primitive@2.0.0
103193 info linkStuff is-primitive@2.0.0
103194 silly linkStuff is-primitive@2.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103195 verbose linkBins is-primitive@2.0.0
103196 verbose linkMans is-primitive@2.0.0
103197 silly build is-equal-shallow@0.1.3
103198 info linkStuff is-equal-shallow@0.1.3
103199 silly linkStuff is-equal-shallow@0.1.3 has /www/lifecockpit/node_modules as its parent node_modules
103200 verbose linkBins is-equal-shallow@0.1.3
103201 verbose linkMans is-equal-shallow@0.1.3
103202 silly build is-stream@1.1.0
103203 info linkStuff is-stream@1.1.0
103204 silly linkStuff is-stream@1.1.0 has /www/lifecockpit/node_modules as its parent node_modules
103205 verbose linkBins is-stream@1.1.0
103206 verbose linkMans is-stream@1.1.0
103207 silly build is-svg@2.1.0
103208 info linkStuff is-svg@2.1.0
103209 silly linkStuff is-svg@2.1.0 has /www/lifecockpit/node_modules as its parent node_modules
103210 verbose linkBins is-svg@2.1.0
103211 verbose linkMans is-svg@2.1.0
103212 silly build is-typedarray@1.0.0
103213 info linkStuff is-typedarray@1.0.0
103214 silly linkStuff is-typedarray@1.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103215 verbose linkBins is-typedarray@1.0.0
103216 verbose linkMans is-typedarray@1.0.0
103217 silly build is-utf8@0.2.1
103218 info linkStuff is-utf8@0.2.1
103219 silly linkStuff is-utf8@0.2.1 has /www/lifecockpit/node_modules as its parent node_modules
103220 verbose linkBins is-utf8@0.2.1
103221 verbose linkMans is-utf8@0.2.1
103222 silly build strip-bom@2.0.0
103223 info linkStuff strip-bom@2.0.0
103224 silly linkStuff strip-bom@2.0.0 has /www/lifecockpit/node_modules/gulp-rev/node_modules as its parent node_modules
103225 verbose linkBins strip-bom@2.0.0
103226 verbose linkMans strip-bom@2.0.0
103227 silly build strip-bom-stream@1.0.0
103228 info linkStuff strip-bom-stream@1.0.0
103229 silly linkStuff strip-bom-stream@1.0.0 has /www/lifecockpit/node_modules/gulp-rev/node_modules as its parent node_modules
103230 verbose linkBins strip-bom-stream@1.0.0
103231 verbose linkMans strip-bom-stream@1.0.0
103232 silly build strip-bom@2.0.0
103233 info linkStuff strip-bom@2.0.0
103234 silly linkStuff strip-bom@2.0.0 has /www/lifecockpit/node_modules/gulp-sourcemaps/node_modules as its parent node_modules
103235 verbose linkBins strip-bom@2.0.0
103236 verbose linkMans strip-bom@2.0.0
103237 silly build is-windows@0.2.0
103238 info linkStuff is-windows@0.2.0
103239 silly linkStuff is-windows@0.2.0 has /www/lifecockpit/node_modules as its parent node_modules
103240 verbose linkBins is-windows@0.2.0
103241 verbose linkMans is-windows@0.2.0
103242 silly build isarray@0.0.1
103243 info linkStuff isarray@0.0.1
103244 silly linkStuff isarray@0.0.1 has /www/lifecockpit/node_modules as its parent node_modules
103245 verbose linkBins isarray@0.0.1
103246 verbose linkMans isarray@0.0.1
103247 silly build isexe@2.0.0
103248 info linkStuff isexe@2.0.0
103249 silly linkStuff isexe@2.0.0 has /www/lifecockpit/node_modules as its parent node_modules
103250 verbose linkBins isexe@2.0.0
103251 verbose linkMans isexe@2.0.0
103252 silly build isarray@1.0.0
103253 info linkStuff isarray@1.0.0
103254 silly linkStuff isarray@1.0.0 has /www/lifecockpit/node_modules/isobject/node_modules as its parent node_modules
103255 verbose linkBins isarray@1.0.0
103256 verbose linkMans isarray@1.0.0
103257 silly build isobject@2.1.0
103258 info linkStuff isobject@2.1.0
103259 silly linkStuff isobject@2.1.0 has /www/lifecockpit/node_modules as its parent node_modules
103260 verbose linkBins isobject@2.1.0
103261 verbose linkMans isobject@2.1.0
103262 silly build isstream@0.1.2
103263 info linkStuff isstream@0.1.2
103264 silly linkStuff isstream@0.1.2 has /www/lifecockpit/node_modules as its parent node_modules
103265 verbose linkBins isstream@0.1.2
103266 verbose linkMans isstream@0.1.2
103267 silly build jquery@3.2.1
103268 info linkStuff jquery@3.2.1
103269 silly linkStuff jquery@3.2.1 has /www/lifecockpit/node_modules as its parent node_modules
103270 verbose linkBins jquery@3.2.1
103271 verbose linkMans jquery@3.2.1
103272 silly build js-base64@2.1.9
103273 info linkStuff js-base64@2.1.9
103274 silly linkStuff js-base64@2.1.9 has /www/lifecockpit/node_modules as its parent node_modules
103275 verbose linkBins js-base64@2.1.9
103276 verbose linkMans js-base64@2.1.9
103277 silly build js-tokens@3.0.1
103278 info linkStuff js-tokens@3.0.1
103279 silly linkStuff js-tokens@3.0.1 has /www/lifecockpit/node_modules as its parent node_modules
103280 verbose linkBins js-tokens@3.0.1
103281 verbose linkMans js-tokens@3.0.1
103282 silly build esprima@2.7.3
103283 info linkStuff esprima@2.7.3
103284 silly linkStuff esprima@2.7.3 has /www/lifecockpit/node_modules/js-yaml/node_modules as its parent node_modules
103285 verbose linkBins esprima@2.7.3
103286 verbose link bins [ { esparse: './bin/esparse.js',
103286 verbose link bins     esvalidate: './bin/esvalidate.js' },
103286 verbose link bins   '/www/lifecockpit/node_modules/js-yaml/node_modules/.bin',
103286 verbose link bins   false ]
103287 verbose linkMans esprima@2.7.3
103288 silly gentlyRm /www/lifecockpit/node_modules/js-yaml/node_modules/.bin/esparse is being purged
103289 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/js-yaml/node_modules/.bin/esparse
103290 silly gentlyRm /www/lifecockpit/node_modules/js-yaml/node_modules/.bin/esvalidate is being purged
103291 verbose gentlyRm don't care about contents; nuking /www/lifecockpit/node_modules/js-yaml/node_modules/.bin/esvalidate
103292 silly build jsbn@0.1.1
103293 info linkStuff jsbn@0.1.1
103294 silly linkStuff jsbn@0.1.1 has /www/lifecockpit/node_modules as its parent node_modules
103295 verbose linkBins jsbn@0.1.1
103296 verbose linkMans jsbn@0.1.1
103297 silly build ecc-jsbn@0.1.1
103298 info linkStuff ecc-jsbn@0.1.1
103299 silly linkStuff ecc-jsbn@0.1.1 has /www/lifecockpit/node_modules as its parent node_modules
103300 verbose linkBins ecc-jsbn@0.1.1
103301 verbose linkMans ecc-jsbn@0.1.1
103302 silly build jodid25519@1.0.2
103303 info linkStuff jodid25519@1.0.2
103304 silly linkStuff jodid25519@1.0.2 has /www/lifecockpit/node_modules as its parent node_modules
103305 verbose linkBins jodid25519@1.0.2
103306 verbose linkMans jodid25519@1.0.2
103307 silly build jsesc@1.3.0
103308 info linkStuff jsesc@1.3.0
